,Refreshing,Runner,Baker,Counter,Regulator,Has Python,Has Whiteboard,Has Reached Balmers Peak,DNE,Type of Activity Id,Type of Movie Id,Type of GPU Id,Type of Laptop Id,Type of Toaster Id,Type of Deck Id,Type of Whale Id,Type of Star Id,Type of Dog Id,labels
85,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.3,0.4,0.2,0.3,0.2,0.4,0.5,0.3,0.4,1.0
86,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.4,0.1,0.2,0.3,0.1,0.3,0.5,0.1,0.4,0.0
87,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.3,0.6,0.2,0.4,0.3,0.3,0.5,0.2,0.4,1.0
88,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.3,0.5,0.2,0.4,0.2,0.3,0.5,0.3,0.4,1.0
89,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.3,0.4,0.2,0.4,0.3,0.2,0.1,0.2,0.1,1.0
90,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.3,0.6,0.2,0.5,0.4,0.4,0.5,0.2,0.4,0.0
91,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4,0.1,0.2,0.4,0.1,0.2,0.1,0.1,0.1,1.0
92,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.3,0.2,0.2,0.4,0.2,0.3,0.1,0.2,0.1,0.0
93,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3,0.4,0.2,0.3,0.2,0.4,0.5,0.2,0.4,0.0
94,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3,0.6,0.2,0.4,0.2,0.3,0.5,0.3,0.4,0.0
95,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.4,0.1,0.3,0.4,0.1,0.4,0.5,0.1,0.4,0.0
96,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.4,0.1,0.2,0.4,0.1,0.4,0.5,0.1,0.4,0.0
97,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.3,0.6,0.2,0.2,0.2,0.2,0.5,0.2,0.4,1.0
98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.2,0.4,0.3,0.2,0.5,0.2,0.4,1.0
99,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.3,0.6,0.2,0.6,0.4,0.3,0.1,0.6,0.1,0.0
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1,0.2,0.4,0.1,0.3,0.5,0.1,0.4,1.0
101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1,0.2,0.4,0.1,0.4,0.5,0.1,0.4,0.0
102,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3,0.6,0.2,0.5,0.3,0.2,0.5,0.2,0.4,1.0
103,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.4,0.1,0.2,0.3,0.1,0.3,0.5,0.1,0.4,0.0
104,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.3,0.3,0.2,0.3,0.2,0.2,0.5,0.2,0.4,0.0
105,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.2,0.2,0.2,0.5,0.3,0.2,0.3,0.2,0.4,0.0
106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.2,0.4,0.4,0.2,0.5,0.2,0.4,1.0
107,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.3,0.4,0.4,0.3,0.2,0.4,0.5,0.4,0.4,0.0
108,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3,0.6,0.3,0.4,0.3,0.3,0.5,0.2,0.4,0.0
109,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3,0.6,0.4,0.4,0.2,0.3,0.1,0.6,0.1,1.0
110,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3,0.2,0.2,0.4,0.4,0.2,0.1,0.2,0.1,0.0
111,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4,0.1,0.2,0.3,0.1,0.3,0.5,0.1,0.4,0.0
112,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.0
113,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3,0.5,0.2,0.5,0.2,0.2,0.5,0.5,0.4,1.0
114,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3,0.2,0.2,0.6,0.3,0.2,0.1,0.3,0.1,1.0
115,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.4,0.6,0.2,0.4,0.3,0.3,0.5,0.2,0.4,0.0
116,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.3,0.6,0.2,0.3,0.2,0.2,0.3,0.3,0.4,0.0
117,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2,0.2,0.2,0.6,0.4,0.2,0.2,0.2,0.4,0.0
118,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.3,0.2,0.3,0.3,0.2,0.3,0.5,0.3,0.4,1.0
119,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.0
